time,prediction,prediction_tau,idle,transmit
0,19,16,-0.000212887,0.0187391
0,19,17,0.000182709,0.038965
0,19,18,0.000844871,0.0344465
0,19,19,0.00203404,0.0368535
0,19,20,0.00287312,0.0441336
0,19,21,0.00126874,0.0106053
0,19,22,0.00272479,0.0132675
0,19,23,0.010474,0.0975842
0,19,24,0.00202648,0.0223955
0,19,25,0.00227691,0.0275907
0,19,26,0.00661989,0.032315
0,19,27,0.00743415,0.0354305
0,19,28,0.00292305,0.0146257
0,19,29,0.00327107,0.00637787
0,19,30,0,0
0,20,0,0,0
0,20,1,0,0
0,20,2,0,0
0,20,3,0,0
0,20,4,0,0
0,20,5,0,0
0,20,6,0,0
0,20,7,0,0
0,20,8,0,0
0,20,9,0,0
0,20,10,0,0
0,20,11,-0.00159283,0.019165
0,20,12,0,0
0,20,13,-0.00099914,0.0214347
0,20,14,-0.0021098,0.0568557
0,20,15,-0.000512853,0.020344
0,20,16,-0.000716727,0.0375991
0,20,17,8.15163e-05,0.0334462
0,20,18,0.000413513,0.0347007
0,20,19,0.00248417,0.0994429
0,20,20,0.00277929,0.0539549
0,20,21,0.00498611,0.0570662
0,20,22,0.00551957,0.0870278
0,20,23,0.00600124,0.0913923
0,20,24,0.00802553,0.0742675
0,20,25,0.00422703,0.0164259
0,20,26,0.00470318,0.0381998
0,20,27,0.0114904,0.0862903
0,20,28,0.0107205,0.0656811
0,20,29,0.00896621,0.0627655
0,20,30,0.00991892,0.0584697
0,21,0,0,0
0,21,1,0,0
0,21,2,0,0
0,21,3,0,0
0,21,4,0,0
0,21,5,0,0
0,21,6,0,0
0,21,7,0,0
0,21,8,0,0
0,21,9,0,0
0,21,10,0,0
0,21,11,0,0
0,21,12,-0.00143649,0.0341919
0,21,13,0,0
0,21,14,-0.00071384,0.0130157
0,21,15,-0.00056282,0.0260105
0,21,16,-3.728e-05,0.0148397
0,21,17,2.70133e-05,0.0320603
0,21,18,0.000294213,0.0180104
0,21,19,0.00195639,0.0819079
0,21,20,0.00331586,0.0691377
0,21,21,0.00324259,0.0322718
0,21,22,0.00378344,0.0685562
0,21,23,0.00157733,0.0149215
0,21,24,0.00933095,0.106128
0,21,25,0.0021348,0.0237565
0,21,26,0.00490022,0.0198551
0,21,27,0.00520813,0.0280699
0,21,28,0.00807507,0.0687424
0,21,29,0.00320599,0.020537
0,21,30,0.0106989,0.0614745
0,22,0,0,0
0,22,1,0,0
0,22,2,0,0
0,22,3,0,0
0,22,4,0,0
0,22,5,0,0
0,22,6,0,0
0,22,7,0,0
0,22,8,0,0
0,22,9,0,0
0,22,10,0,0
0,22,11,0,0
0,22,12,0,0
0,22,13,0,0
0,22,14,0,0
0,22,15,-0.00028614,0.0182549
0,22,16,0,0
0,22,17,0,0
0,22,18,0,0
0,22,19,0,0
0,22,20,0.00078802,0.0132741
0,22,21,0,0
0,22,22,0.0026897,0.0585859
0,22,23,0.00162061,0.0344139
0,22,24,0,0
0,22,25,0,0
0,22,26,0.00259664,0.0259979
